sep=\t
Module Resource Usage Distribution Estimates
Generated at: Feb 08, 2024 11:42:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +inputArea_target_buffercc:BufferCC_13_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +logic_systemLogic_bus_rsp_ccToggle:FlowCCByToggle_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     71(67)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +bufferCC_15:BufferCC_11_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_12_3c5c6ba8cd47460daa75b7c3d4f9b3fe	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bufferCC_16:BufferCC_1_3c5c6ba8cd47460daa75b7c3d4f9b3fe 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +toplevel_system_cores_0_logic_cpu_dBus_Bridge_withWriteBuffer_syncLogic_cmdCtx_fifo:StreamFifo_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     12(12)	       0(0)	     10(10)	       9(9)	     0(0)	     1(1)	     0(0)	
   +toplevel_system_cores_1_logic_cpu_dBus_Bridge_withWriteBuffer_syncLogic_cmdCtx_fifo:StreamFifo_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     12(12)	       0(0)	     10(10)	       9(9)	     0(0)	     1(1)	     0(0)	
   +toplevel_system_cores_2_logic_cpu_dBus_Bridge_withWriteBuffer_syncLogic_cmdCtx_fifo:StreamFifo_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     12(12)	       0(0)	     10(10)	       9(9)	     0(0)	     1(1)	     0(0)	
   +toplevel_system_cores_3_logic_cpu_dBus_Bridge_withWriteBuffer_syncLogic_cmdCtx_fifo:StreamFifo_3c5c6ba8cd47460daa75b7c3d4f9b3fe	     12(12)	       0(0)	     10(10)	       9(9)	     0(0)	     1(1)	     0(0)	
   +bufferCC_17:BufferCC_2_3c5c6ba8cd47460daa75b7c3d4f9b3fe 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
